Date,SPY C-to-C,BAC C-to-C,SPY O-to-C,BAC O-to-C
01/06/2001,0.507990021,-1.903174448,0.189276458,-1.733916643
04/06/2001,0.434774378,0.862532792,-0.024507889,-0.299867969
05/06/2001,1.329349198,2.218718358,1.151673046,1.165290774
06/06/2001,-1.035975974,-0.227610443,-0.875903508,0.865258361
07/06/2001,0.572260653,-0.077301015,0.445443993,1.356965356
08/06/2001,-0.970164407,-0.88720221,-0.503174919,0.464537187
11/06/2001,-0.836813592,-0.333490014,-0.50706794,-0.41701073
12/06/2001,0.16796776,0.481033952,1.232555822,1.044617651
13/06/2001,-1.098879648,0.14146102,-0.862215955,-0.246821204
14/06/2001,-1.843603418,-2.409463553,-0.869548228,-1.347096479
15/06/2001,-0.670860019,0.420316581,0.352822675,0.593807277
18/06/2001,-0.484459192,2.379345931,-0.44556269,2.294462223
19/06/2001,0.371365973,0.847089284,-1.197927878,0.073774864
20/06/2001,0.943478655,0.874121343,0.489499461,0.956559705
21/06/2001,0.999462811,1.932817805,1.014339221,1.206989396
22/06/2001,-0.85863779,0.965639268,-0.528817933,1.16031908
25/06/2001,-0.521663204,-1.096803054,-0.872558367,-1.244406544
26/06/2001,-0.261360808,-1.242630086,0.822151988,0.834711519
27/06/2001,-0.336233383,-0.175219956,-0.074883707,0.272325537
28/06/2001,1.278483792,-0.54236569,0.390555845,-0.838166008
29/06/2001,0.23684372,0.273630382,0.519724742,0.241138919
02/07/2001,0.519418569,0.820199653,0.80179824,1.121360024
03/07/2001,0.24323133,0.056837168,0.580968918,0.820290624
05/07/2001,-1.492681034,-0.224596674,-0.659510062,-0.290201154
06/07/2001,-2.517262021,-3.229329281,-1.272788383,-2.662598825
09/07/2001,0.761472797,0.960740312,0.616697094,0.84102233
10/07/2001,-1.483915717,-3.274790549,-1.70246029,-2.886093983
11/07/2001,0.068419454,0.808786151,0.227692954,1.18515102
12/07/2001,2.388054628,3.515493839,1.345249898,3.212430705
13/07/2001,0.601382345,1.444007401,0.576661436,0.874997801
16/07/2001,-1.112108431,1.947563446,-1.346524371,-0.962327307
17/07/2001,0.950109229,3.73430991,1.342708617,2.978153387
18/07/2001,-0.517821899,0.573553263,0.032233857,1.504515624
19/07/2001,0.577435306,-0.931949041,-0.592178288,-1.458588687
20/07/2001,-0.274401119,-0.87811933,0.032051004,-0.548389718
23/07/2001,-1.697328652,-0.678225266,-2.037918655,-1.217609807
24/07/2001,-1.619632825,-0.457716146,-1.489588821,-0.745937
25/07/2001,1.561933676,0.619494387,1.298479114,-0.440887286
26/07/2001,1.21738176,1.236133704,1.268006319,0.844124865
27/07/2001,0.15079125,0.688551208,0.190399352,0.560323167
30/07/2001,-0.072630494,0.025346064,-0.314973727,0.142812299
31/07/2001,0.536763254,0.104070106,0.691146359,-0.038021734
01/08/2001,0.436485992,-0.82854411,0.187882038,-0.893947866
02/08/2001,0.353002673,0.816214334,-0.563223681,-0.385364766
03/08/2001,-0.424671373,-0.053546822,0.01552783,0.040268413
06/08/2001,-1.162742026,-0.830648847,-0.853799216,-0.97271904
07/08/2001,0.340813161,0.422293998,0.580740607,0.45408406
08/08/2001,-1.827937075,-0.324539427,-1.433383154,0.629113912
09/08/2001,0.068255005,0.897111632,0.420794527,0.468398775
10/08/2001,0.613912733,-0.672052131,0.478114714,-0.530527492
13/08/2001,0.059497166,0.675150672,-0.076240108,0.548125401
14/08/2001,-0.284041431,-0.959851494,-0.97127129,-1.468055808
15/08/2001,-0.723575504,0.168542278,-0.724015513,0.040268413
16/08/2001,0.296316494,1.072396515,0.871951987,1.390459682
17/08/2001,-1.725462028,-1.038498809,-0.898761925,-0.451835128
20/08/2001,0.846386245,1.483168797,0.716502026,0.909495538
21/08/2001,-1.257647946,0.009619098,-1.351461235,-0.492397737
22/08/2001,0.841433888,1.820165996,0.162101296,0.947091388
23/08/2001,-0.273053621,0.612137068,-0.111994805,0.936165663
24/08/2001,1.943834241,-2.70357202,1.559249032,-2.005559166
27/08/2001,-0.420217077,-0.70507128,-0.32911198,-0.356274259
28/08/2001,-1.564354705,-1.403745735,-1.362736999,-1.001825185
29/08/2001,-1.068181954,-2.680365596,-1.230227828,-2.545377186
30/08/2001,-1.845059248,-0.009652196,-1.365151704,0.506081932
31/08/2001,0.581485197,2.471738914,0.377440478,1.740489196
04/09/2001,-0.219215828,0.526435634,0.683555431,2.322356039
05/09/2001,-0.043527606,-1.080461849,0.122722399,-0.383668305
06/09/2001,-2.189006557,-2.3074955,-1.372857084,-1.400750311
07/09/2001,-1.806810156,-1.954214976,-0.50283829,0.34801357
10/09/2001,0.648663719,-1.717083455,1.570031445,0.595825398
17/09/2001,-5.099450201,-5.113654887,1.310849278,1.820621944
18/09/2001,-0.509507635,0.713414394,-0.444101272,0.425201525
19/09/2001,-1.739700439,0.020473531,-2.225910774,-1.401197987
20/09/2001,-3.014820645,-2.447436585,-1.522343927,-2.498032292
21/09/2001,-2.208486427,-4.404443992,2.499363076,1.390978975
24/09/2001,3.700255005,3.882126659,0.547595098,0.960549112
25/09/2001,1.039293372,3.342477864,0.285961166,2.224843587
26/09/2001,-0.483611398,0.31073647,-1.157505433,-0.086165271
27/09/2001,1.052423881,3.10710486,1.038341117,2.694266914
