Date,Open,High,Low,Close,Adj Close,Volume
2020/1/9,23530.28906,23767.08984,23506.15039,23739.86914,23739.86914,62200
2020/1/10,23813.2793,23903.28906,23761.08008,23850.57031,23850.57031,55900
2020/1/14,23969.03906,24059.85938,23951.66016,24025.16992,24025.16992,64200
2020/1/15,23923.48047,23997.39063,23875.82031,23916.58008,23916.58008,57200
2020/1/16,23960.19922,23975.38086,23905.38086,23933.13086,23933.13086,55400
2020/1/17,24103.44922,24115.94922,24013.75,24041.25977,24041.25977,59400
2020/1/20,24080.67969,24108.10938,24061.66992,24083.50977,24083.50977,38300
2020/1/21,24072.81055,24081.75,23843.48047,23864.56055,23864.56055,44600
2020/1/22,23835.49023,24040.86914,23831.09961,24031.34961,24031.34961,49000
2020/1/23,23843.50977,23910.00977,23779.23047,23795.43945,23795.43945,55500
2020/1/24,23850.11914,23869.38086,23755.32031,23827.17969,23827.17969,48700
2020/1/27,23427.90039,23463.89063,23317.32031,23343.50977,23343.50977,62400
2020/1/28,23126.92969,23243.35938,23115.15039,23215.71094,23215.71094,64400
2020/1/29,23309.32031,23392.60938,23214.2793,23379.40039,23379.40039,54900
2020/1/30,23284.58008,23318.57031,22892.94922,22977.75,22977.75,69600
2020/1/31,23148.91992,23421.58984,23139.98047,23205.17969,23205.17969,75400
2020/2/3,22874.26953,23023.73047,22775.91992,22971.93945,22971.93945,72500
2020/2/4,22881.13086,23118.13086,22854.44922,23084.58984,23084.58984,67900
2020/2/5,23351.4707,23414.68945,23241.64063,23319.56055,23319.56055,70300
2020/2/6,23641.09961,23995.36914,23625.13086,23873.58984,23873.58984,95100
2020/2/7,23899.00977,23943.44922,23759.41992,23827.98047,23827.98047,65400
2020/2/10,23631.78906,23788.25,23621.7207,23685.98047,23685.98047,56500
2020/2/12,23741.21094,23869.73047,23693.7207,23861.21094,23861.21094,74600
2020/2/13,23849.75977,23908.84961,23784.31055,23827.73047,23827.73047,64500
2020/2/14,23714.51953,23738.41992,23603.48047,23687.58984,23687.58984,69100
